@relation train-weka.filters.unsupervised.attribute.NumericToBinary-Rlast

@attribute 'Reaction number' numeric
@attribute 'Reactant 1 name' {CuCl2*2H2O}
@attribute 'Reactant 1 mass (g)' numeric
@attribute 'Reactant 2 name' {HF}
@attribute 'Reactant 2 mass (g)' numeric
@attribute 'Reactant 3 name' {R-aqnHCl}
@attribute 'Reactant 3 mass (g)' numeric
@attribute 'Reactant 4 name' {x}
@attribute 'Reactant 4 mass (g)' numeric
@attribute 'Reactant 5 name' {water}
@attribute 'Reactant 5 mass (g)' numeric
@attribute 'Temp (C)' numeric
@attribute 'Time (h)' numeric
@attribute 'Slow cool' {yes}
@attribute 'pH (x = unknown)' numeric
@attribute Leak {no}
@attribute 'purity (0 = no data in notebook, 1 = multiphase; 2 = single phase)' numeric
@attribute 'outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)' numeric
@attribute Notes string

@data
140.69,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,110,48,yes,3,no,2,4,?
140.7,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,110,48,yes,5,no,2,4,?
140.71,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,110,48,yes,7,no,2,4,?
140.72,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,1,no,2,4,?
140.73,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,3,no,2,4,?
140.74,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,5,no,2,4,?
140.75,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,7,no,2,4,?
140.76,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,1,no,2,4,?
140.77,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,3,no,2,4,?
140.78,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,5,no,2,4,?
140.79,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,7,no,2,4,?
140.8,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,1,no,2,4,?
140.81,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,3,no,2,4,?
140.82,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,5,no,2,4,?
140.83,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,7,no,2,4,?
140.84,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,1,no,2,4,?
140.85,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,3,no,2,4,?
140.86,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,5,no,2,4,?
140.87,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,7,no,2,4,?
140.88,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,1,no,2,4,?
140.89,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,3,no,2,4,?
140.9,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,5,no,2,4,?
140.91,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,7,no,2,4,?
140.92,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,1,no,2,4,?
140.93,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,3,no,2,4,?
140.94,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,5,no,2,4,?
140.95,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,7,no,2,4,?
140.96,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,45,90,24,yes,1,no,2,4,?
141.1,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,24,yes,3,no,2,4,?
141.2,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,24,yes,5,no,2,4,?
141.3,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,24,yes,7,no,2,4,?
141.4,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,1,no,2,4,?
141.5,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,3,no,2,4,?
141.6,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,5,no,2,4,?
141.7,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,7,no,2,4,?
141.8,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,1,no,2,4,?
141.9,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,3,no,2,4,?
141.1,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,5,no,2,4,?
141.11,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,7,no,2,4,?
141.12,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,24,yes,1,no,2,4,?
141.13,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,24,yes,3,no,2,4,?
141.14,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,24,yes,5,no,2,4,?
141.15,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,24,yes,7,no,2,4,?
141.16,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,36,yes,1,no,2,4,?
141.17,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,36,yes,3,no,2,4,?
141.18,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,36,yes,5,no,2,4,?
141.19,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,36,yes,7,no,2,4,?
141.2,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,48,yes,1,no,2,4,?
141.21,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,48,yes,3,no,2,4,?
141.22,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,48,yes,5,no,2,4,?
141.23,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,110,48,yes,7,no,2,4,?
141.24,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,24,yes,1,no,2,4,?
141.25,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,24,yes,3,no,2,4,?
141.26,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,24,yes,5,no,2,4,?
141.27,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,24,yes,7,no,2,4,?
141.28,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,36,yes,1,no,2,4,?
141.29,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,36,yes,3,no,2,4,?
141.3,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,36,yes,5,no,2,4,?
141.31,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,36,yes,7,no,2,4,?
141.32,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,48,yes,1,no,2,4,?
141.33,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,48,yes,3,no,2,4,?
141.34,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,48,yes,5,no,2,4,?
141.35,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,130,48,yes,7,no,2,4,?
141.36,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,24,yes,1,no,2,4,?
141.37,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,24,yes,3,no,2,4,?
141.38,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,24,yes,5,no,2,4,?
141.39,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,24,yes,7,no,2,4,?
141.4,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,36,yes,1,no,2,4,?
141.41,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,36,yes,3,no,2,4,?
141.42,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,36,yes,5,no,2,4,?
141.43,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,36,yes,7,no,2,4,?
141.44,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,48,yes,1,no,2,4,?
141.45,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,48,yes,3,no,2,4,?
141.46,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,48,yes,5,no,2,4,?
141.47,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,9,150,48,yes,7,no,2,4,?
141.48,CuCl2*2H2O,13.63864,HF,16.805326,R-aqnHCl,15.92968,x,-1,water,27,90,24,yes,1,no,2,4,?
142.49,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,24,yes,3,no,2,4,?
142.5,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,24,yes,5,no,2,4,?
142.51,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,24,yes,7,no,2,4,?
142.52,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,36,yes,1,no,2,4,?
142.53,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,36,yes,3,no,2,4,?
142.54,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,36,yes,5,no,2,4,?
142.55,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,36,yes,7,no,2,4,?
142.56,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,48,yes,1,no,2,4,?
142.57,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,48,yes,3,no,2,4,?
142.58,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,48,yes,5,no,2,4,?
142.59,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,90,48,yes,7,no,2,4,?
142.6,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,24,yes,1,no,2,4,?
142.61,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,24,yes,3,no,2,4,?
142.62,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,24,yes,5,no,2,4,?
142.63,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,24,yes,7,no,2,4,?
142.64,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,36,yes,1,no,2,4,?
142.65,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,36,yes,3,no,2,4,?
142.66,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,36,yes,5,no,2,4,?
142.67,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,36,yes,7,no,2,4,?
142.68,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,48,yes,1,no,2,4,?
142.69,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,48,yes,3,no,2,4,?
142.7,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,48,yes,5,no,2,4,?
142.71,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,110,48,yes,7,no,2,4,?
142.72,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,24,yes,1,no,2,4,?
142.73,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,24,yes,3,no,2,4,?
142.74,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,24,yes,5,no,2,4,?
142.75,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,24,yes,7,no,2,4,?
142.76,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,36,yes,1,no,2,4,?
142.77,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,36,yes,3,no,2,4,?
142.78,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,36,yes,5,no,2,4,?
142.79,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,36,yes,7,no,2,4,?
142.8,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,48,yes,1,no,2,4,?
142.81,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,48,yes,3,no,2,4,?
142.82,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,48,yes,5,no,2,4,?
142.83,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,130,48,yes,7,no,2,4,?
142.84,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,24,yes,1,no,2,4,?
142.85,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,24,yes,3,no,2,4,?
142.86,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,24,yes,5,no,2,4,?
142.87,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,24,yes,7,no,2,4,?
142.88,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,36,yes,1,no,2,4,?
142.89,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,36,yes,3,no,2,4,?
142.9,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,36,yes,5,no,2,4,?
142.91,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,36,yes,7,no,2,4,?
142.92,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,48,yes,1,no,2,4,?
142.93,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,48,yes,3,no,2,4,?
142.94,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,48,yes,5,no,2,4,?
142.95,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,27,150,48,yes,7,no,2,4,?
142.96,CuCl2*2H2O,13.63864,HF,1.600507,R-aqnHCl,167.26164,x,-1,water,45,90,24,yes,1,no,2,4,?
143.49,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,24,yes,3,no,2,4,?
143.5,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,24,yes,5,no,2,4,?
143.51,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,24,yes,7,no,2,4,?
143.52,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,36,yes,1,no,2,4,?
143.53,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,36,yes,3,no,2,4,?
143.54,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,36,yes,5,no,2,4,?
143.55,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,36,yes,7,no,2,4,?
143.56,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,48,yes,1,no,2,4,?
143.57,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,48,yes,3,no,2,4,?
143.58,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,48,yes,5,no,2,4,?
143.59,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,90,48,yes,7,no,2,4,?
143.6,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,24,yes,1,no,2,4,?
143.61,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,24,yes,3,no,2,4,?
143.62,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,24,yes,5,no,2,4,?
143.63,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,24,yes,7,no,2,4,?
143.64,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,36,yes,1,no,2,4,?
143.65,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,36,yes,3,no,2,4,?
143.66,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,36,yes,5,no,2,4,?
143.67,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,36,yes,7,no,2,4,?
143.68,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,48,yes,1,no,2,4,?
143.69,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,48,yes,3,no,2,4,?
143.7,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,48,yes,5,no,2,4,?
143.71,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,110,48,yes,7,no,2,4,?
143.72,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,1,no,2,4,?
143.73,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,3,no,2,4,?
143.74,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,5,no,2,4,?
143.75,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,24,yes,7,no,2,4,?
143.76,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,1,no,2,4,?
143.77,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,3,no,2,4,?
143.78,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,5,no,2,4,?
143.79,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,36,yes,7,no,2,4,?
143.8,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,1,no,2,4,?
143.81,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,3,no,2,4,?
143.82,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,5,no,2,4,?
143.83,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,130,48,yes,7,no,2,4,?
143.84,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,1,no,2,4,?
143.85,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,3,no,2,4,?
143.86,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,5,no,2,4,?
143.87,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,24,yes,7,no,2,4,?
143.88,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,1,no,2,4,?
143.89,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,3,no,2,4,?
143.9,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,5,no,2,4,?
143.91,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,36,yes,7,no,2,4,?
143.92,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,1,no,2,4,?
143.93,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,3,no,2,4,?
143.94,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,5,no,2,4,?
143.95,CuCl2*2H2O,110.81395,HF,5.401712,R-aqnHCl,15.92968,x,-1,water,27,150,48,yes,7,no,2,4,?
